Category,Datasets,Values,Genes
CD4Tconv,BRCA_GSE161529,0,WNT2
CD4Tconv,BRCA_GSE114727_inDrop,0,WNT2
CD8T,BRCA_GSE161529,0,WNT2
CD8T,BRCA_GSE114727_inDrop,0.01,WNT2
NK,BRCA_GSE161529,0,WNT2
NK,BRCA_GSE114727_inDrop,0,WNT2
B,BRCA_GSE161529,0,WNT2
B,BRCA_GSE114727_inDrop,0.01,WNT2
Plasma,BRCA_GSE161529,0,WNT2
Plasma,BRCA_GSE114727_inDrop,0.01,WNT2
DC,BRCA_GSE161529,0,WNT2
DC,BRCA_GSE114727_inDrop,0.01,WNT2
Mono/Macro,BRCA_GSE161529,0,WNT2
Mono/Macro,BRCA_GSE114727_inDrop,0.01,WNT2
Mast,BRCA_GSE161529,0,WNT2
Mast,BRCA_GSE114727_inDrop,0,WNT2
Neutrophils,BRCA_GSE161529,0,WNT2
Neutrophils,BRCA_GSE114727_inDrop,0,WNT2
Endothelial,BRCA_GSE161529,0.01,WNT2
Endothelial,BRCA_GSE114727_inDrop,0.01,WNT2
Fibroblasts,BRCA_GSE161529,0.43,WNT2
Fibroblasts,BRCA_GSE114727_inDrop,0.37,WNT2
Myofibroblasts,BRCA_GSE161529,0.43,WNT2
Myofibroblasts,BRCA_GSE114727_inDrop,0.37,WNT2
Epithelial,BRCA_GSE161529,0,WNT2
Epithelial,BRCA_GSE114727_inDrop,0.37,WNT2
Malignant,BRCA_GSE161529,0,WNT2
Malignant,BRCA_GSE114727_inDrop,0.37,WNT2
Pericytes,BRCA_GSE161529,0.02,WNT2
Pericytes,BRCA_GSE114727_inDrop,0.37,WNT2
