Category,Datasets,Values,Genes
CD4Tconv,BRCA_GSE176078,0,WNT7B
CD4Tconv,BRCA_GSE161529,0,WNT7B
CD4Tconv,BRCA_GSE150660,0,WNT7B
CD4Tconv,BRCA_GSE148673,0,WNT7B
CD4Tconv,BRCA_GSE114727_inDrop,0,WNT7B
Tprolif,BRCA_GSE176078,0,WNT7B
Tprolif,BRCA_GSE161529,0,WNT7B
Tprolif,BRCA_GSE150660,0,WNT7B
Tprolif,BRCA_GSE148673,0,WNT7B
Tprolif,BRCA_GSE114727_inDrop,0,WNT7B
CD8T,BRCA_GSE176078,0,WNT7B
CD8T,BRCA_GSE161529,0.01,WNT7B
CD8T,BRCA_GSE150660,0,WNT7B
CD8T,BRCA_GSE148673,0,WNT7B
CD8T,BRCA_GSE114727_inDrop,0,WNT7B
CD8Tex,BRCA_GSE176078,0,WNT7B
CD8Tex,BRCA_GSE161529,0.01,WNT7B
CD8Tex,BRCA_GSE150660,0,WNT7B
CD8Tex,BRCA_GSE148673,0,WNT7B
CD8Tex,BRCA_GSE114727_inDrop,0,WNT7B
NK,BRCA_GSE176078,0,WNT7B
NK,BRCA_GSE161529,0.01,WNT7B
NK,BRCA_GSE150660,0,WNT7B
NK,BRCA_GSE148673,0,WNT7B
NK,BRCA_GSE114727_inDrop,0,WNT7B
B,BRCA_GSE176078,0,WNT7B
B,BRCA_GSE161529,0,WNT7B
B,BRCA_GSE150660,0,WNT7B
B,BRCA_GSE148673,0,WNT7B
B,BRCA_GSE114727_inDrop,0,WNT7B
Plasma,BRCA_GSE176078,0,WNT7B
Plasma,BRCA_GSE161529,0,WNT7B
Plasma,BRCA_GSE150660,0,WNT7B
Plasma,BRCA_GSE148673,0,WNT7B
Plasma,BRCA_GSE114727_inDrop,0,WNT7B
DC,BRCA_GSE176078,0,WNT7B
DC,BRCA_GSE161529,0,WNT7B
DC,BRCA_GSE150660,0,WNT7B
DC,BRCA_GSE148673,0,WNT7B
DC,BRCA_GSE114727_inDrop,0,WNT7B
Mono/Macro,BRCA_GSE176078,0,WNT7B
Mono/Macro,BRCA_GSE161529,0.01,WNT7B
Mono/Macro,BRCA_GSE150660,0,WNT7B
Mono/Macro,BRCA_GSE148673,0.01,WNT7B
Mono/Macro,BRCA_GSE114727_inDrop,0,WNT7B
Mast,BRCA_GSE176078,0,WNT7B
Mast,BRCA_GSE161529,0.01,WNT7B
Mast,BRCA_GSE150660,0,WNT7B
Mast,BRCA_GSE148673,0.01,WNT7B
Mast,BRCA_GSE114727_inDrop,0.03,WNT7B
Neutrophils,BRCA_GSE176078,0,WNT7B
Neutrophils,BRCA_GSE161529,0.01,WNT7B
Neutrophils,BRCA_GSE150660,0,WNT7B
Neutrophils,BRCA_GSE148673,0.01,WNT7B
Neutrophils,BRCA_GSE114727_inDrop,0,WNT7B
Endothelial,BRCA_GSE176078,0,WNT7B
Endothelial,BRCA_GSE161529,0,WNT7B
Endothelial,BRCA_GSE150660,0,WNT7B
Endothelial,BRCA_GSE148673,0.01,WNT7B
Endothelial,BRCA_GSE114727_inDrop,0,WNT7B
Fibroblasts,BRCA_GSE176078,0,WNT7B
Fibroblasts,BRCA_GSE161529,0.01,WNT7B
Fibroblasts,BRCA_GSE150660,0,WNT7B
Fibroblasts,BRCA_GSE148673,0.01,WNT7B
Fibroblasts,BRCA_GSE114727_inDrop,0,WNT7B
Myofibroblasts,BRCA_GSE176078,0,WNT7B
Myofibroblasts,BRCA_GSE161529,0.01,WNT7B
Myofibroblasts,BRCA_GSE150660,0,WNT7B
Myofibroblasts,BRCA_GSE148673,0.01,WNT7B
Myofibroblasts,BRCA_GSE114727_inDrop,0,WNT7B
SMC,BRCA_GSE176078,0,WNT7B
SMC,BRCA_GSE161529,0.01,WNT7B
SMC,BRCA_GSE150660,0,WNT7B
SMC,BRCA_GSE148673,0.01,WNT7B
SMC,BRCA_GSE114727_inDrop,0,WNT7B
Epithelial,BRCA_GSE176078,0,WNT7B
Epithelial,BRCA_GSE161529,0.02,WNT7B
Epithelial,BRCA_GSE150660,0,WNT7B
Epithelial,BRCA_GSE148673,0.09,WNT7B
Epithelial,BRCA_GSE114727_inDrop,0,WNT7B
Malignant,BRCA_GSE176078,0.06,WNT7B
Malignant,BRCA_GSE161529,0.05,WNT7B
Malignant,BRCA_GSE150660,0.04,WNT7B
Malignant,BRCA_GSE148673,0.1,WNT7B
Malignant,BRCA_GSE114727_inDrop,0,WNT7B
Pericytes,BRCA_GSE176078,0.06,WNT7B
Pericytes,BRCA_GSE161529,0,WNT7B
Pericytes,BRCA_GSE150660,0.04,WNT7B
Pericytes,BRCA_GSE148673,0.1,WNT7B
Pericytes,BRCA_GSE114727_inDrop,0,WNT7B
